Name,City,Address,Rating,Price (INR),Rooms vailable,Amenities,Image URL
Hotel Galaxy REW-01,Rewa,"99, MG Road, Rewa",3.7,2285,20,"Swimming Pool, Gym, Free Breakfast",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b
Hotel Heaven CHH-02,Chhindwara,"76, Market Area, Chhindwara",4.8,2186,13,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel Galaxy SAG-03,Sagar,"99, Main Road, Sagar",3.6,2680,11,"AC, Parking, WiFi, Free Breakfast",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Heaven BHO-04,Bhopal,"32, Lake View, Bhopal",3.5,4383,32,"Swimming Pool, Gym, Free Breakfast",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel Heaven UJJ-05,Ujjain,"47, Station Road, Ujjain",3.6,3155,18,"Room Service, WiFi, Bar, Laundry",https://images.unsplash.com/photo-1590490360182-c33d57733427
Hotel Palm SAT-06,Satna,"86, Main Road, Satna",4.7,2906,28,"AC, Parking, WiFi, Free Breakfast",https://images.unsplash.com/photo-1551776235-dde6d4829808
Hotel Paradise SAT-07,Satna,"98, Lake View, Satna",3.3,2800,42,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b
Hotel Heaven IND-08,Indore,"86, Market Area, Indore",3.5,5732,22,"Room Service, WiFi, Bar, Laundry",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Harmony SAG-09,Sagar,"171, Civil Lines, Sagar",3.1,3527,42,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Palm IND-10,Indore,"155, Market Area, Indore",5.0,4981,37,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1551776235-dde6d4829808
Hotel Sunrise UJJ-11,Ujjain,"143, Civil Lines, Ujjain",3.4,2776,42,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel Royal JAB-12,Jabalpur,"164, MG Road, Jabalpur",4.6,4792,17,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel Sunrise GWA-13,Gwalior,"79, MG Road, Gwalior",4.9,4201,40,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1590490360182-c33d57733427
Hotel Elegance GWA-14,Gwalior,"173, MG Road, Gwalior",4.0,4387,12,"AC, Parking, WiFi, Free Breakfast",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel Harmony CHH-15,Chhindwara,"123, Station Road, Chhindwara",5.0,2014,20,"Free WiFi, Parking, AC, Restaurant",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b
Hotel Paradise IND-16,Indore,"39, Station Road, Indore",3.2,5749,17,"AC, Parking, WiFi, Free Breakfast",https://images.unsplash.com/photo-1590490360182-c33d57733427
Hotel Elegance GWA-17,Gwalior,"197, Main Road, Gwalior",3.4,3749,7,"Room Service, WiFi, Bar, Laundry",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel BlueMoon IND-18,Indore,"94, Station Road, Indore",4.3,7373,46,"Room Service, WiFi, Bar, Laundry",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel Palm CHH-19,Chhindwara,"50, Civil Lines, Chhindwara",4.6,1727,33,"Free WiFi, Parking, AC, Restaurant",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b
Hotel Harmony CHH-20,Chhindwara,"168, MG Road, Chhindwara",3.4,2196,40,"AC, Parking, WiFi, Free Breakfast",https://images.unsplash.com/photo-1590490360182-c33d57733427
Hotel Heaven IND-21,Indore,"142, Main Road, Indore",3.3,7460,22,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel Palm CHH-22,Chhindwara,"87, MG Road, Chhindwara",3.3,2117,13,"Swimming Pool, Gym, Free Breakfast",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b
Hotel Palm REW-23,Rewa,"37, MG Road, Rewa",3.9,2031,15,"Room Service, WiFi, Bar, Laundry",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Palm BHO-24,Bhopal,"186, Station Road, Bhopal",3.3,6474,26,"Swimming Pool, Gym, Free Breakfast",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Harmony GWA-25,Gwalior,"51, Civil Lines, Gwalior",5.0,4291,20,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1551776235-dde6d4829808
Hotel Heaven IND-26,Indore,"30, Civil Lines, Indore",4.4,5432,45,"Free WiFi, Parking, AC, Restaurant",https://images.unsplash.com/photo-1590490360182-c33d57733427
Hotel Heaven IND-27,Indore,"12, Lake View, Indore",3.7,7697,20,"AC, Parking, WiFi, Free Breakfast",https://images.unsplash.com/photo-1590490360182-c33d57733427
Hotel Galaxy SAT-28,Satna,"39, Station Road, Satna",3.5,1750,25,"Swimming Pool, Gym, Free Breakfast",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Sunrise JAB-29,Jabalpur,"140, Main Road, Jabalpur",3.1,3206,30,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel Harmony IND-30,Indore,"192, Market Area, Indore",4.4,6022,37,"Swimming Pool, Gym, Free Breakfast",https://images.unsplash.com/photo-1551776235-dde6d4829808
Hotel BlueMoon SAG-31,Sagar,"72, Station Road, Sagar",4.1,2463,31,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1590490360182-c33d57733427
Hotel Royal BHO-32,Bhopal,"61, Lake View, Bhopal",4.3,4954,26,"AC, Parking, WiFi, Free Breakfast",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Palm CHH-33,Chhindwara,"21, Main Road, Chhindwara",5.0,2056,27,"Swimming Pool, Gym, Free Breakfast",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Sunrise IND-34,Indore,"199, MG Road, Indore",3.3,6378,48,"Free WiFi, Parking, AC, Restaurant",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Galaxy BHO-35,Bhopal,"195, Lake View, Bhopal",5.0,6273,34,"Free WiFi, Parking, AC, Restaurant",https://images.unsplash.com/photo-1551776235-dde6d4829808
Hotel Elegance RAT-36,Ratlam,"88, Main Road, Ratlam",4.8,1963,30,"Free WiFi, Parking, AC, Restaurant",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Elite SAT-37,Satna,"151, Station Road, Satna",4.3,2423,40,"Swimming Pool, Gym, Free Breakfast",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Elegance IND-38,Indore,"189, MG Road, Indore",3.8,5646,6,"Room Service, WiFi, Bar, Laundry",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel BlueMoon BHO-39,Bhopal,"133, Lake View, Bhopal",3.6,4952,42,"Free WiFi, Parking, AC, Restaurant",https://images.unsplash.com/photo-1551776235-dde6d4829808
Hotel Royal IND-40,Indore,"42, MG Road, Indore",4.1,4271,19,"AC, Parking, WiFi, Free Breakfast",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Royal SAT-41,Satna,"152, Civil Lines, Satna",4.1,1858,29,"Swimming Pool, Gym, Free Breakfast",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Paradise SAT-42,Satna,"80, Civil Lines, Satna",3.6,2676,8,"Free WiFi, Parking, AC, Restaurant",https://images.unsplash.com/photo-1551776235-dde6d4829808
Hotel Sunrise UJJ-43,Ujjain,"74, Station Road, Ujjain",4.2,3493,33,"Room Service, WiFi, Bar, Laundry",https://images.unsplash.com/photo-1590490360182-c33d57733427
Hotel Galaxy GWA-44,Gwalior,"134, Civil Lines, Gwalior",3.3,4282,25,"Swimming Pool, Gym, Free Breakfast",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel Harmony JAB-45,Jabalpur,"96, MG Road, Jabalpur",3.3,3905,23,"Free WiFi, Parking, AC, Restaurant",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Elite RAT-46,Ratlam,"190, Main Road, Ratlam",4.6,2044,35,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1551776235-dde6d4829808
Hotel Harmony JAB-47,Jabalpur,"76, Lake View, Jabalpur",4.5,4431,22,"AC, Parking, WiFi, Free Breakfast",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel Palm REW-48,Rewa,"95, Station Road, Rewa",3.4,2886,18,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Elite SAG-49,Sagar,"26, MG Road, Sagar",3.2,2702,16,"AC, Parking, WiFi, Free Breakfast",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b
Hotel Elite UJJ-50,Ujjain,"138, Market Area, Ujjain",3.6,3420,45,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel Harmony GWA-51,Gwalior,"131, Lake View, Gwalior",4.5,3655,39,"AC, Parking, WiFi, Free Breakfast",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel Galaxy REW-52,Rewa,"178, Lake View, Rewa",4.1,1916,20,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1590490360182-c33d57733427
